old,new
"Славгород, Знаменка",Славгород
"Славгород, Славгородское",Славгород
Сорочий лос,Первомайское
Степное озеро,Благовещенка
Талдыкорган,Казахстан
Тальменкагт,Тальменка
Тальменский район,Тальменка
Тальменкар,Тальменка
"Таш-Кумыр, Шамалды-Сай",Кыргызстан
Тула Южный,Тула
Тунцзянородской уезд,Китай
Тягун,Заринск
УжурСолнечный,Красноярск
Тягун,Заринск
Урываевот,Панкрушиха
Усть- Каменогорск,Усть-Каменогорск
Усть-Каменогоск,Усть-Каменогорск
Усть-Кокса c,Усть-Кокса
Усть-Чарыш,Усть-Пристань
Утянка,Бурла
Хабарский р-н,Хабары
Шемонаиха Рассыпное,Шемонаиха
Шимонаиха,Шемонаиха
Шипуново-2,Шипуново
а Казыбек,Казахстан
гБелокуриха,Белокуриха
гЗаринск,Заринск
гМосква,Москва
гУсть-Каменогорск,Усть-Каменогорск
Карловка,Красноярск
Прогресс,Барнаул
пКопьево,Хакасия
пМирный,Зональное
Зори,Павловск
Дангара,Барнаул
поКомсомольский,Павловск
Умед,Рубцовск
поНовохарьковка,Змеиногорск
поПреградинка,Благовещенка
посКрасноярка,Усть-Кокса
-Катунь,Бийск
посУсть-Катунь,Бийск
рпБлаговещенка,Благовещенка
сАлтайское,Алтайское
сАя,Алтайское
сБалыхча,Улаган
сБезрукавка,Рубцовск
сБирюля,Майма
сБоровиха,Первомайское
сБурла,Бурла
Исток,Быстрый Исток
сГонохово,Камень-на-Оби
сЕнисейское,Бийск
сЗалесово,Залесово
сЗональное,Зональное
сКалманка,Калманка
сКаракол,Онгудай
сКош-Агач,Кош-Агач
сКрасногорское,Красногорское
сКырлык,Усть-Кан
сСоусканиха,Красногорское
савловск,Павловск
2Карпово ,Краснощеково
гБарнаул,Барнаул
гГорно-Алтайск,Горно-Алтайск
д Карловка,Красноярск
пНовые Зори,Павловск
пгт Дангара,Барнаул
поНавзамин Умед,Барнаул
посУсть -Катунь,Бийск
сБыстрый Исток,Быстрый Исток
сельсовет Берекет ,Барнаул
гороБарнаул ,Барнаул
гНовоалтайск,Новоалтайск
сБыстрый Исток,Быстрый Исток
поАлтай,Алтайское
"Барнаул,Борзовая заимка",Барнаул
Казенная заимка,Барнаул
сКош-Агач,Кош-Агач
сБеш Озек,Бийск
Зеленаяоляна,Троицкое
Березово ПГТ,Солтон
Село Панкрушиха,Панкрушиха
сКалмыцкие Мысы,Поспелиха
Лебединовка а,Советское
гАлейск,Алейск
Майминское/п,Майма
Табуы,Табуны
Н-Чемровка,Зональное
"Барнаул,елок Центральный",Барнаул
Старовеличковскаят-ца,Краснодар
посПятилетка,Новосибирск
"Лебяжье, Барнаул",Барнаул
сВерх-Уба,Шемонаиха
рпСтепное Озеро',Благовещенка
сГилево,Локоть
"Барнаул,Бельмесево",Барнаул
Н-Уймон,Усть-Кокса
Им Мамонтова,Мамонтово
Рыбное Каменского района,Камень-на-Оби
"Далянь, Люйшунь р-н",Китай
поСолнечный,Алейск
Барнаул Власиха,Барнаул
Усть - Пристань,Усть-Пристань
сРебриха,Ребриха
"Павлодарская область, Успенский район,ело Конырозек",Казахстан
"Центральный, Барнаул",Барнаул
С Правда,Первомайское
"Бийск,Фоминское",Бийск
Барнаул  Центральный,Барнаул
сБаталово,Шипуново
Султанянгиюрт c,Дагестан
"Исфара, Ворух",Кыргызстан
гБийск,Бийск
Благовещеский р-н,Благовещенка
гСеверо-Енисейский,Красноярск
"Душанбе, Сино р-н",Таджикистан
поМногопольный,Красногорское
мкр Затон,Барнаул
РМалиновое озеро,Михайловское
Северобайкальскор,Бурятия
"Южный, Барнаул",Барнаул
рпТальменка,Тальменка
СЗаковряшино,Крутиха
гЗмеиногорск,Змеиногорск
ЛуАнь,Китай
пВолга,Первомайское
сБоровиха,Первомайское
Горно-алтайск,Горно-Алтайск
"поНавзамин, Умед",Барнаул
барнаул,Барнаул
сЗональное,Зональное
Костин-Лог,Мамонтово
С Потеряевка,Мамонтово
С Красногородское,Красногорское
С Троицкое,Троицкое
Банаул,Барнаул
Третьяковот,Староалейское
Вторая Каменка,Локоть
р-н Локтевский,Локоть
сБор-Кособулат,Угловское
Карпово Второе,Краснощеково
гБарнаул,Барнаул
посСолнечный,Алейск
"Барнаул,",Барнаул
сКраснощеково,Краснощеково
Хуапин д,Китай
"Славгород, Славгородское",Славгород
Верх-катунское,Бийск
гРубцовск,Рубцовск
Барнаул  Новомихайловска,Барнаул
сБалыктуюль,Улаган
гСемей,Казахстан
Овечкинот,Завьялово
Лаохуелок ,Барнаул
