old,new
Третьяковский район Алтайский край,Алтай
"Алтайский край, Романовский р-н, Романово",Алтай
"Алтайский край, Рубцовск",Рубцовск
"Кемеровская область, Кемерово",РФ
"Россия, Алтайский край, Бийск",Бийск
"Россия, Алтайский край, Калманский р-н, Калманка",Алтай
"Россия, Алтайский край, Тобунский р-н",Алтай
"Алтайский край, Косихинский р-н, Косиха",Алтай
"Алтайский край, Благовещенский р-н, Леньки",Алтай
"Алтайский край, Кытмановский р-н, Кытманово",Алтай
"Восточно-Казахстанская область, Бородулихинско...",Казахстан
"Алтайский край, Заринск",Заринск
Бийский район Алтайского края,Бийск
гБарнаул,Барнаул
"Россия, Алтайский край, Бийский р-н, Лесное",Бийск
"Барнаул , ул Малахова",Барнаул
"Казахстан респ, Восточно-Казахстанская обл, Бо...",Казахстан
"Алтай Респ, Чойский р-н, Паспаул",Республика
"Алтайский край, Кулундинский р-н, Кулунда",Алтай
Николаевка Немецкого национального района Алта...,Алтай
"Алтай Респ, Турочакский р-н, Турочак",Республика
Алтайского края Хабаровского района Зятькова Р...,Алтай
"Россия, Алтайский край, Новоалтайск",Новоалтайск
"Казахстан, Восточно-Казахстанская область, Сер...",Казахстан
"Россия, Алтайский край, Алейск",Алейск
сБыстрый Исток Быстроистокского района Алтайск...,Алтай
"Алтайский край, Солтонский р-н, Ненинка",Алтай
город Барнаул Алтайского края,Барнаул
р-н Мир Сайид Ами Хамадони Хатлонская область,Таджикистан
"Алтайский край, Егорьевский р-н, Новоегорьевское",Алтай
Рубцовск,Рубцовск
"Россия, Алтайский край, Ребрихинский р-н",Алтай
"Алтайский край, Барнаул, Лесной",Барнаул
"Россия, Республика Алтай, Горно-Алтайск",Горно-Алтайск
Степное Озеро Благовещенского района Алтайског...,Алтай
"Алтай респ, Турочакский р-н, Дмитриевка",Республика
Республика Алтай,Республика
"Казахстан Респ, Восточно-Казахстанская обл, Ри...",Казахстан
гБийск Алтайского края,Бийск
Бийск,Бийск
Алтайски край Барнаул,Барнаул
"Китай, Автономный район Внутренняя Монголия",Китай
"Казахстан, Усть-Каменогорск",Казахстан
"Россия, Москва",РФ
"Казахстан респ, Бостандыкский р-н, Алматы",Казахстан
Риддер Восточно-Казахстанской области,Казахстан
Бийск АК,Бийск
"Россия, Алтайский край, Шелаболихинский р-н",Алтай
"Алтайский край, Троицкий р-н, Гордеевский",Алтай
"Россия, Алтайский край, Локтевский р-н, Покровка",Алтай
сМухор-Тархата,Республика
"Казахстан респ, Семей",Казахстан
"Таджикистан, Душанбе",Таджикистан
Усть-Каменогорск,Казахстан
"Алтайский край, Первомайский р-н, Зудилово",Алтай
Алтайский крайБарнаул,Барнаул
город Славгород Алтайского края,Славгород
"Алтайский край, Бурлинский р-н, Новопесчаное",Алтай
"Россия, Алтайский край, Хабарский р-н, Хабары",Алтай
"Алтайский край, Косихинский р-н, Налобиха",Алтай
"Алтайский край, Табунский р-н, Алтайское",Алтай
"Алтайский край, Зональный р-н, Новая Чемровка",Алтай
Алтайский край Барнаул,Барнаул
"Казахстан, Восточно-Казахстанская обл, Бородул...",Казахстан
"Алтайский край, Чарышский р-н, Чарышское",Алтай
"Алтай Респ, Кош-Агачский р-н",Республика
Алтайский крайор Бийск,Бийск
"Россия, Алтайский край, Камень-на-Оби",Камень-на-Оби
"Россия, Алтайский край, Павловский р-н, Новые ...",Алтай
"Приморский край, Владивосток",РФ
рпТальменка,Алтай
"Алтайский край, Павловский р-н, Павловск",Алтай
"Россия, Алтайский край, Сибирский",Алтай
"Россия, Новосибирская обл, Новосибирск",РФ
"Алтайский край, Новичихинский р-н, Поломошное",Алтай
Баевский р-он,Алтай
"Алтайский край, Павловский р-н, Новые Зори",Алтай
"Россия, Алтайский край, Горняк",Алтай
"Алтайский край, Баевский р-н, Баево",Алтай
"Кыргызская респ, Жалал-Абадская обл, Сузакский...",Кыргызстан
"Новосибирская обл, Новосибирск",РФ
"Республика Алтай, Горно-Алтайск",Горно-Алтайск
гНовокузнецк Кемеровской области,РФ
Алтайский крайНовоалтайск,Новоалтайск
"Алтай Респ, Горно-Алтайск",Горно-Алтайск
"Алтайский край,Бийск",Бийск
Санкт-Петербург,РФ
Усть- Каменогорск Восточно-Казахстанской обл,Казахстан
"Алтайский край, Благовещенский р-н, Степное Озеро",Алтай
Змеиногорск,Алтай
"Алтайский край, Топчихинский р-н, Топчиха",Алтай
Чемальский р-н,Алтай
"Россия, Чукотский АО, Билибино",РФ
Новоалтайск,Новоалтайск
"Алтай Респ, Улаганский р-н",Республика
Новоповалиха,Алтай
"Алтайский край, Шелаболихинский р-н",Алтай
"Свердловская обл, Нижний Тагил",РФ
Алтайский край Троицкого районаТроицкое,Алтай
Алтайский крайБийск,Бийск
"Алтайский край, Волчихинский р-н, Малышев Лос",Алтай
"Алтайский край, Крутихинский р-н, Крутиха",Алтай
Славгородское Славгорода алтайского края,Славгород
"Алтайский край, Барнал",Барнаул
"Шипуновский район, Алтайского края",Алтай
"Казахстан респ, Павлодарская обл, Павлодар",Казахстан
"Алтайский край, Яровое",Алтай
"Казахстан респ, Восточно-Казахстанская обл, Ус...",Казахстан
Калманский район Алтайский край,Алтай
"Алтайский край, Первомайский р-н, Сибирский",Алтай
Камень-на-Оби,Камень-на-Оби
Барнаул Алтайский края,Барнаул
"Казахстан, Алматинская область, Талдыкорган",Казахстан
"Алтайский край, Змеиногорский р-н, Саввушка",Алтай
"Республика Алтай, Кош-Агачский р-н, Кош-Агач",Республика
"Алтайский край, Романовский р-н",Алтай
"Таджикистан, Согдийская обл, Исфара",Таджикистан
Усть-Каменогорск ВКО Казахстан,Казахстан
"Алтайский край, Тальменский р-н, Зайцево",Алтай
Киргизия,Кыргызстан
Алтайский край Знаменки,Алтай
гАлейск Алтайского края,Алейск
"Киргизия, Жалал-Абадская область, Майлуу-Суу",Кыргызстан
"Казахстан, Восточно-Казахстанская обл, Семей",Казахстан
"Алтайский край, Алейск",Алейск
Алтайский край Новоалтайск,Новоалтайск
район Халач Лебапской области,Туркменистан
"Китай,Сычуань",Китай
Алтайский край Сибирский,Алтай
"Россия, Алтайский край, Первомайский р-н, Зуди...",Алтай
гУсть-Каменогорск Восточно-Казахтанской области,Казахстан
"Алтайский край, Тюменцевский р-н",Алтай
"Казахстан Респ, Восточно-Казахстанская обл, Ше...",Казахстан
Крутихинский район,Алтай
"Россия, Алтайский край, Троицкий р-н, Троицкое",Алтай
"Алтайский край, Тальменский р-н, Тальменка",Алтай
"Казахстан, Восточно-Казахстанская обл, Усть-Ка...",Казахстан
Симоново,Алтай
"Алтайский край, Локтевский район,Горняк",Алтай
"Алтай респ, Чемальский р-н, Чемал",Республика
"рпУсть-Уда, Иркутской области",РФ
"Алтайский край, Новичихинский р-н, Новичиха",Алтай
"Томская обл, Томск",РФ
"Алтайский край, Славгород",Славгород
гСерноводск Чеченская Република,РФ
"Россия, Алтайский край, Ельцовский р-н, Ельцовка",Алтай
"Алтайский край, Крутихинский р-н, Долганка",Алтай
Заринск Алтайского края,Заринск
"Россия, Алтайский край, Волчихинский р-н",Алтай
"Россия, Республика Тыва, Чадан",РФ
"Алтайски край, Барнаул",Барнаул
"Казахстан, Восточно-Казахстанская обл, Бескара...",Казахстан
"Тыва Респ, Кызыл",РФ
Кемеровская обл,РФ
"Алтайский край, Благовещенский р-н, Благовещенка",Алтай
"КНР,ров Сычуань, Цзыян",Китай
"Омская область, Омск",РФ
Заринск,Заринск
"Алтайский край, Славгородский р-н, Семеновка",Славгород
"Алтайский край, Топчихинский р-н, Кировский",Алтай
"Алтайский край, Новичихинский р-н",Алтай
город Яровое Алтайского края,Алтай
"Алтайский край, Камень-на Оби",Камень-на-Оби
"Алтайский край, Первомайский р-н, Первомайское",Алтай
"Кемеровская область,ор Прокопьевск",РФ
"Алтайский край, Шипуновский р-н, Шипуново",Алтай
респКазахстанПавлодар,Казахстан
"Россия, Смоленская обл, Смоленск",РФ
гор Барнаул,Барнаул
"Алтайский край,Барнаул",Барнаул
"Россия, Алтайский край, Ключевской р-н",Алтай
"Сахалинская область, Холмский р-н, Чехов",РФ
Кош-Агачский р-н респ-ки Алтай,Республика
Алтайский край Камень-на-Оби,Камень-на-Оби
"Таджикистан, Хатлонская обл, Курган-Тюбе",Таджикистан
"Алтайский край, Заринский р-н",Заринск
Славгород,Славгород
"Алтайский край, Поспелихинский р-н, Калмыцкие ...",Алтай
"Казахстан, Восточно-Казахстанская обл, Зырянов...",Казахстан
"Россия, Алтайский край, Бурлинский р-н",Алтай
Горно-Алтайск,Горно-Алтайск
"Алтайский край, Красногорский р-н, Усть-Иша",Алтай
"Алтайский край, Солонешенский р-н",Алтай
Алтайский край Угловский р-н,Алтай
"Алтайский край, Немецкий Национальный р-н, Дег...",Алтай
"Китай,ровинция Хэнань, Лохэ",Китай
"Алтайский край, Залесовский р-н, Черемушкино",Алтай
"Алтайский край, Шипуновский р-н, Бобровка",Алтай
Тальменский р-он Алтайский кр,Алтай
Угловский район Алтайского края,Алтай
"Алтайский край, Первомайский р-н",Алтай
"Алтайский край, Сибирский",Алтай
город Москва,РФ
"Алтайский край, Смоленский р-н",Алтай
Китай ГДаньчжоу,Китай
"россия, алтайский край, Барнаул",Барнаул
"Свердловская область, Екатеринбург",РФ
"Россия, Алтайский край, Косихинский р-н, Конто...",Алтай
"Алтайский край, Тальменский р-н, Новоперуново",Алтай
"Алтайский край, Тальменский р-н",Алтай
"Алтайский край, Бурлинский р-н",Алтай
"Таджикистан Респ, Душанбе",Таджикистан
"Алтайский край, Бурлинский район",Алтай
"Россия, Алтайский край, Калманский р-н, Новоро...",Алтай
Глядень Благовещенского района Алтайского края,Алтай
город Каракол,Кыргызстан
"Алтайский край, Красногорский р-н, Соусканиха",Алтай
"Республика Алтай, Майминский р-н",Республика
"Алтайский край, Бийский р-н, Лесное",Бийск
Зимари Калманского р-на АК,Алтай
РК ВКО Семей,Казахстан
сСолонешное,Алтай
"Россия, Кемеровская обл, Новокузнецк",РФ
"Казахстан респ, Восточно-Казахстанская обл, Ше...",Казахстан
"Алтайский край Павловск, Павловского р-на",Алтай
РеспАлтай Майминского р-не,Республика
"Россия, Алтайский край,Барнаул",Барнаул
"Россия, Алтайский край, Михайловский р-н, Миха...",Алтай
"Карагандинская область, Караганда",Казахстан
"Россия, Алтайский край, Тальменский р-н",Алтай
"Алтайский край, Змеиногорск",Алтай
"Барнал, Алтайский край",Барнаул
"Россия, Республика Саха (Якутия), МО Мирнински...",РФ
Алтайский край Бийск,Бийск
"Кемеровская область, Полысаево",РФ
"Кемеровская обл, Гурьевский р-н",РФ
Алтайский край Первомайский район,Алтай
"Барнаул, Алтайский край",Барнаул
"Казахстан, Восточно-Казахстанская область, Глу...",Казахстан
"Москва,",РФ
"Алтайский край, Солонешенский р-н, Солонешное",Алтай
"Алтайский край, Завьяловский р-н, Завьялово",Алтай
"Казахстан респ, Павлодар",Казахстан
"Красноярский край, Саяногорск",РФ
"Россия, Оренбургская обл, Оренбург",РФ
"Алтайский край, Целинный р-н, Целинное",Алтай
"Алтайский край, Волчихинский р-н, Волчиха",Алтай
Алтайский край,Алтай
Республика Алтай Турочакский район,Республика
"Алтайский край, Заринский р-н, Сосновка",Заринск
Славгород Алтайского края,Славгород
"Китай, Хэйлунцзянровинция, Фуюань",Китай
Новоалтайск Алтайского края,Новоалтайск
Павлодар,Казахстан
"Россия, Алтайский край, Курьинский р-н",Алтай
"Россия, Алтайский край, Павловский р-н, Павловск",Алтай
Косихинский р-н Алтайский край,Алтай
"Алтайский край, Целинный р-н, Бочкари",Алтай
Сычевка Сморленский р-н АК,Алтай
Ганджа,Азербайджан
"Россия, Алтайский край, Павловский р-н, Сибирс...",Алтай
"Таджикистан, Душенбе",Таджикистан
"Косихинский р-он, Косиха",Алтай
"Россия, Алтайский край, Алейский р-н",Алейск
Павлодар Республики Казахстан,Казахстан
Омская областьОмск,РФ
Краснощековский р-н АК,Алтай
Алтай Респ,Республика
Алтайски край Бийск,Бийск
Тальменский район Алтайского края,Алтай
поУсть-Катунь Бийского р-она АК,Бийск
Крутиха Крутихинского района Алтайского края,Алтай
"Алтайский край, Панкрушихинский р-н, Панкрушиха",Алтай
Горно-Алтайск Республики Алтай,Горно-Алтайск
"Россия, Алтайский край, Тальменский р-н, Тальм...",Алтай
Республика АрменияЕреван,Армения
Усть-Калманка,Алтай
Барнаул Алтайского края,Барнаул
Староалейское,Алтай
"Каракокша, Республика Алтай",Республика
"Алтай Респ, Усть-Коксинский р-н, Усть-Кокса",Республика
"Казахстан респ, Восточно-Казахстанская обл, Бо...",Казахстан
Первомайский район Алтайский край,Алтай
"Хабаровский край, Комсомольск-на-Амуре",РФ
"Томская область, Кривошеинский р-н, Кривошеино",РФ
"Алтайский край, Уловский район, Угловское",Алтай
"Россия, Кемеровская обл, Кемерово",РФ
"Алтайский край, Краснощековский р-н, Новошипуново",Алтай
сЕлбанка Усть-Пристанского района,РФ
Жалал-Абадская область Кыргыстан,Кыргызстан
"Алтайский край, Павловский р-н, Стуково",Алтай
гБарнаул АК,Барнаул
"Казахстан, ВКО, Бородулихинский район, Дмитриевка",Казахстан
"Алтайский край, Усть-Калманский р-н, Чарышское",Алтай
"Алтайский край, Угловский р-н, Угловское",Алтай
"Казахстан Респ, Шемонаиха",Казахстан
"Кыргызская республика, Бишкек",Кыргызстан
Новокузнецк,РФ
"Краснодарский край, Сочи",РФ
"Омская обл, Омск",РФ
"Россия, Республика Алтай, Турочакский р-н, Тур...",Республика
"Алтайский край, Тальменксий р-н, Анисимово",Алтай
"Россия, Алтайский край, Солтонский р-н",Алтай
"Алтайский край, Мамонтовский р-н, Костин Лос",Алтай
гМосква,РФ
"Казахстан Респ, Восточно-Казахстанская обл, Зы...",Казахстан
Романовский район Алтайский край,Алтай
"Кемеровская обл, Кемерово",РФ
гУдачный Республики Саха,РФ
"Алтайский край, Первомайский р-н, Новоалтайск",Алтай
Алтайский край Кулундинский р-он Кулунда,Алтай
"Новосибирская обл, Искитимский р-н,т Евсино",РФ
"Казахстан Респ, Усть-Каменогорск",Казахстан
"Саха /Якутия/ Респ, Мирный",РФ
"Россия, Республика Алтай, Шебалинский р-н, Шеб...",Республика
"Китай, Синьцзян-Уйгурский автономный р-н",Китай
"Китай, Урумчи",Китай
"Чеченская респ, Грозный",РФ
Яровое,Алтай
"Кыргызская респ, Баткенская обл, Кадамжай",Кыргызстан
сМартовка Хабарского р-на АК,Алтай
Ямало-Ненецкий автономный окруШурышарский р-нГ...,РФ
"Алтайский край, Тюменцевский р-н, Вылково",Алтай
Алтайский крайРубцовск,Рубцовск
"Россия, Алтайский край, Троицкий р-н",Алтай
"Казахстан, Семипалатниск",Казахстан
Угловский р-н Алтайский край,Алтай
Республика Алтай Горно-Алтайск,Горно-Алтайск
"Алтайский край, Топчихинский р-н, Володарка",Алтай
"Алтай респ, Кош-Агачский р-н, Кош-Агач",Республика
"Алтайский край, Усть-Калманский р-н, Усть-Калм...",Алтай
Калманский район,Алтай
"Республика Тыва, Кызылский р-н, Ээрбек",РФ
"Алтайский край, Заринский район Стародраченино",Заринск
Алейск,Алейск
"Алтайский край, Кулундинский р-н, Константиновка",Алтай
"Алтайский край, Бийский р-н, Малоугренево",Бийск
"Алтайский край, Первомайский р-н, Березовка",Алтай
"Алтайский край, Шелаболихинский р-н, Шелаболиха",Алтай
"КНР,ров Цзянси, Санья",Китай
"Казахстан, Алматинская обл, Капшагай",Казахстан
"Киргизия, Жалал-Абадская обл, Жалал-Абад",Кыргызстан
Бараул,Барнаул
"Алтайский край, Залесовский р-н, Залесово",Алтай
"Россия, Республика Алтай, Кош-Агачский р-н, Ко...",Республика
"Алтайский край, Михайловский р-н, Михайловское",Алтай
"Алтайский край, Советский р-н, Советское",Алтай
"Алтайский край, Смоленский р-н, Смоленское",Алтай
сКулунда,Алтай
сНовониколаевка Рубцовского р-на АК,Рубцовск
"Алтайский край, Зональный р-н",Алтай
Кемеровская областьОсинники,РФ
"Казахстан респ, Восточно-Казахстанская обл, Ку...",Казахстан
Алтайский край Краснощековский район,Алтай
Алтайский крайКамень-на-Оби,Камень-на-Оби
"Алтайский край, Чарышский р-н",Алтай
"Россия, Алтайский край, Солонешенский р-н, Сол...",Алтай
"Алтайский край, Краснощековский р-н, Березовка",Алтай
"Алтай Респ, Кош-Агачский р-н, Кош-Агач",Республика
Новосибирск,РФ
Алтайский край Алейск,Алейск
"Алтай респ, Горно-Алтайск",Горно-Алтайск
"Алтайский края,Барнаул",Барнаул
сБуланиха Алтайского края,Алтай
"Китай, Синьцзян",Китай
"Таджикистан, Согдийская обл, Исфары",Таджикистан
Завьяловский район Алтайского края,Алтай
"Россия, Алтайский край, Тюменцевский р-н",Алтай
"Таджикистан, Хорог",Таджикистан
"Казахстан, Карагандинская обл, Сарань",Казахстан
Алтайский край Поспелихинский район,Алтай
"Казахстан, Восточно-Казахстанская обл, Зыряновск",Казахстан
"Алтайский край, Бийский р-н",Бийск
"Киргизия, Нарынская обл, Ат-Башинский р-н",Кыргызстан
"Алтайский край, Рубцовский р-н, Безрукавка",Рубцовск
"Республика Алтай, Усть-Коксинский р-н, Верх-Уймон",Республика
"Советский р-н, Алтайского края",Алтай
Алтайский край Солтонский район,Алтай
"Россия, Томская обл, Томск",РФ
"Россия, Алтайский край, Белокуриха",Алтай
"Алтайский край, Хабарский р-н, Свердловское",Алтай
"Челябинская обл, Челябинск",РФ
"Казахстан респ, Восточно-Казахстанская обл, Семей",Казахстан
Первомайский р-н,Алтай
"Казахстан, Восточно-Казахстанская обл, Шемонаи...",Казахстан
"Хакасия Респ, Абакан",РФ
гЕреван,Армения
"Новосибирская обл, Карасук",РФ
Верх-Аллак,Алтай
"Алтайский край, Завьяловский р-н, Харитоново",Алтай
"Алтайский край, Заринский район",Заринск
Поспелихинский р-он,Алтай
гБарнаул Алтайского края,Барнаул
Заринского района Алтайского края,Заринск
Барнал Алтайского края,Барнаул
"Таджикистан, Шахринава район",Таджикистан
"Алтайский край, Петропавловский р-н, Антоньевка",Алтай
"Казахстан Респ, Риддер",Казахстан
Рубцовск Алтайского края,Рубцовск
"Кемеровская обл, Новокузнецк",РФ
"Хуросонский р-он, Хатлонская обл,Республика Та...",Таджикистан
"Казахстан Респ, Восточно-Казахстанская обл, Гл...",Казахстан
Кемеровская область Кемерово,РФ
"Россия, Алтайский край, Троицкий р-н, Зеленая ...",Алтай
"Алтайский край, Заринский р-н, Воскресенко",Заринск
гБийск,Бийск
"Алтайский край, Тюменцево",Алтай
"Алтайский край, Завьяловский р-н",Алтай
"Алтайский край, Заринский р-н, Гоношиха",Заринск
Восточно - Казахстанская область,Казахстан
"Республика Казахстан, Алматы",Казахстан
"Новосибирская обл, Ордынский р-н, Козиха",РФ
"Россия, Алтайский край, Советский р-н, Советское",Алтай
"Алтай респ, Улаганский р-н, Улаган",Республика
Косиха,Алтай
"Казахстан Респ, Павлодар",Казахстан
"Китай, Сычуаньровинция, Мяньянородской окруЦзянъю",Китай
"Россия, Алтайский край, Мамонтовский р-н, Остр...",Алтай
"Алтайский край, Тюменцевский р-н, Тюменцево",Алтай
Республика Алтай Улаганский район,Республика
Горно-Алтайск республики Алтай,Горно-Алтайск
Алтайский край Баевский район,Алтай
"Россия, Республика Алтай, Усть-Канский р-н, Ус...",Республика
"Казахстан, Восточно-Казахстанская область, Бор...",Казахстан
"Алтайский край, Поспелихинский р-н, 12 лет Окт...",Алтай
Алтайский край Павловский район Павловск,Алтай
"Алтайский край, Быстроистокский р-н, Быстрый И...",Алтай
"Россия, Алтайский край, Волчихинский р-н, Волчиха",Алтай
"Россия, Алтайский край, Бийский р-н, Большеугр...",Бийск
Хабары Хабарского района Алтайского края,Алтай
"Россия, Алтайский край, Кытмановский р-н, Кытм...",Алтай
"Алтайский край, Угловский р-н, Лаптево-Логовое",Алтай
"Алтайский край, Алтайский р-н, Ая",Алтай
"Алтайский край, Усть-Калманский р-н, Огни",Алтай
"Россия, Алтайский край, Бурлинский р-н, Лесное",Алтай
"Алтайский край, Табунский р-н, Табуны",Алтай
"Алтайский край, Усть-Калманский р-н",Алтай
"Алтайский край, Тальменский р-н, Озеркит",Алтай
"Азербайджан, Баку",Азербайджан
"Алтайский край, Усть-Пристанский р-н, Коробейн...",Алтай
"Китай, Чжанъе",Китай
С Троицкое Троицкого р-на Алтайского края,Алтай
"Алтайский край, Павловск",Алтай
"Алтайский край, Локтевский р-н, Масальский",Алтай
"Саха (Якутия ) респ, Алдан",РФ
"Алтайский край, Чарышский р-н, Красный Партизан",Алтай
"Казахстан, Восточно-Казахстанская область, Семей",Казахстан
поТолстовский Каменский район Алтайский край,Камень-на-Оби
"сКлючи, Ключевского района Алтайского края",Алтай
"Россия, Свердловская обл, Екатеринбург",РФ
Волчихинский район Алтайского края,Алтай
Чарышский район Алтайского края,Алтай
"Россия, Алтайский край, Залесовский р-н, Залесово",Алтай
"Россия, Алтайский край, Заринск",Заринск
Бурлинский район Алтайского края,Алтай
"КНР, Хэнаньровинция, Шэци",Китай
Волчихинского р-на Алтайского края,Алтай
"Россия, Алтайский край, Благовещенский р-н, Ст...",Алтай
"Таджикистан, Худжанд",Таджикистан
"Алтайский край, Романовский р-н, Гилев-Лос",Алтай
Кемерово,РФ
гГорно-Алтайск,Горно-Алтайск
"Алтайский край, Зональный р-н, Буланиха",Алтай
"Китай,ровинция Гуандун, Цзеян, р-н Жунчэн",Китай
"Россия, Алтайский край, Угловский р-н",Алтай
гБелокриха Алтайского края,Алтай
"Алтайский край, Третьяковский р-н, Староалейское",Алтай
гТомск,РФ
Заковряшино Крутихинского р-на Алтайского края,Алтай
Район Синоорода Душанбе,Таджикистан
Алматы,Казахстан
"Камчатский край, Петропавловск-Камчатский",РФ
"Казахстан Респ, Алматы",Казахстан
"Россия, Алтайский край, Алтайский р-н, Алтайское",Алтай
"Алтайский край, Усть-Пристанский р-н, Вяткино",Алтай
АЛТАЙСКОГО КРАЯ,Алтай
"Китай,ровинция Гуандун, Гуанчжоу",Китай
"Россия, Алтайский край, Солтонский р-н, Солтон",Алтай
"Алтайский край, немецкий национальный р-н, Шум...",Алтай
"Алтайский край, Тальменский р-н, Озерки",Алтай
"Китай,Гуанхань",Китай
"Алтайский край, Тюменцевский р-н, Шарчино",Алтай
"Россия, Алтайский край, Немецкий национальный ...",Алтай
сТогулТогульский р-он АК,Алтай
Китай,Китай
"Алтайский край,Кулунда",Алтай
"Казахстан, Павлодарская обл, Успенский р-н",Казахстан
"Россия, Алтайский край, Смоленский р-н, Смолен...",Алтай
сНовошипуново Краснощековского р-на,Алтай
Тогульский район Алтайского края,Алтай
"Алтайский край, Ключевский р-н, Васильчуки",Алтай
Алтайский крайЗаринск,Заринск
"КНР,ров Гуандун, Чаочжоу",Китай
"Новосибирская область, Новосибирский р-н",РФ
"Республика Алтай, Майминский р-н, Майма",Республика
Краснотуранский р-нЛебяжье,РФ
"Казахстан респ, Зыряновск",Казахстан
"Красноярский край, Красноярск",РФ
"Алтай Респ, Кош-Агачский р-н, Теленгит-Сортогой",Республика
Юрина 220,Барнаул
города Барнаула Алтайского края,Барнаул
"Иркутская обл, Усть-Илимск",РФ
"Алтайский край, Первомайский р-н, Сорочий Лос",Алтай
"Китай, Харбин",Китай
Россия,РФ
Алтайское Табунского р-на Алтайского края,Алтай
"Казахстан, Павлодарская обл, Экибастуз",Казахстан
Республика Саха (Якутия)Алмазный,РФ
Алтайский край Первомайского р-на,Алтай
"Россия, Алтайскийкрай, Рубцовск",Рубцовск
"Кыргызская респ, Жалал-Абадская обл, Жалал-Абад",Кыргызстан
"Казахстан, Восточно-Казахстанская область, Шем...",Казахстан
"Ханты-Мансийский АО - Югра, Ханты-Мансийск",РФ
"Алтайский край, Смоленский р-н, Сычевка",Алтай
"Алтай Респ, Онгудайский р-н, Онгудай",Республика
"Алтайский край, Романовский р-н, Тамбовский",Алтай
"Алтайский край, Курьинский р-н, Курья",Алтай
"КНР, Суйфэньхэ",Китай
Малая Салаирка Гурьевского р-на Кемеровской об...,РФ
"Темурмаликский р-н, Хатлонская область",Таджикистан
"КНР, Учан",Китай
"Алтайский край, Славгород, Селекционное",Славгород
"Алтайский край, Крутихинский р-н",Алтай
Гилево Локтевского р-на АК,Алтай
Семипалатинск,Казахстан
"Туркменистан, Лебапская обл, Туркменабат",Туркменистан
Камень -на -Оби,Камень-на-Оби
гКамень-на-Оби,Камень-на-Оби
"Алтайский край, Немецкий национальный р-н, Пол...",Алтай
гПавлодар Республика Казахстан,Казахстан
Костин ЛоМамонтовского района,Алтай
Алтайский край Ельцовский р-нВерх-Ниня,Алтай
Усть-Калманского р-на Алтайского края,Алтай
"Алтайский край, Павловский р-н, Черемное",Алтай
Павловск,Алтай
"Донецкая область, Харцызск",Украина
Крутиха АК,Алтай
"Алтайский край, Угловский р-н",Алтай
"Алтайский край, Шелаболихинский р-н, Омутской",Алтай
гЧита,РФ
"Россия, Алтайский край, Топчихинский р-н, Топчиха",Алтай
Сибирячиха,Алтай
"Казахстан, Восточно-Казахстанская область, Риддер",Казахстан
Курьинский район Алтайского края,Алтай
"Россия, Алтайский край, Локтевский р-н",Алтай
сЭлекмонара Чемальского р-на Республики Алтай,Республика
"Алтайский край, Павловский р-н, Шахи",Алтай
"Кыргызская респ, Жалал-Абадская обл",Кыргызстан
"Амурская область, Бурейский р-н, Буреягт",РФ
Шаньси,Китай
"Россия, Алтайский край, Кулундинский р-н, Кулунда",Алтай
пПобедим,Алтай
"Россия, Алтайский край, Петропавловский р-н, А...",Алтай
Михайловского района Алтайского края,Алтай
Табунский район Алтайского края,Алтай
