old,new
Свердлов,Екатеринбург
Казань,Казань
Уйгур,Китай
Черемное,Павловск
"Россия, Алтайский край, Алтайский район",Алтайское
байкал,Чита
Усть-Козлуха,Краснощеково
Калининград,Калининград
Сычуань,Китай
Чечен,Чечня
Каракокша,Чоя
Киселевск,Кемерово
Хайнань,Китай
Шаньси,Китай
Харбин,Китай
Бохтар,Таджикистан
Лебедино,Табуны
Мухор-Тархата,Кош-Агач
Борисово,Залесово
Балашиха г,Москва
р. Алтай,Барнаул
Хэбэй,Китай
Троецкое,Троицкое
Беловский,Троицкое
Чаган,Таджикистан
Боровское,Алейск
Баку,Азербайджан
Барнуал,Барнаул
Хабарского,Хабары
Киприно,Шелаболиха
Победим,Топчиха
Толстовский,Камень-на-Оби
Воркута,Коми
"Россия, Республика Алтай",Барнаул
Каип,Ключи
Ашхабад,Туркменистан
Сызрань,Самара
Самарка,Локоть
Темиртау,Казахстан
"Алтайский край, Алтайский р-н",Алтайское
Симоново,Угловское
Глубокое,Завьялово
Сукпак,Казань
Маралиха,Краснощеково
Верх-Аллак,Камень-на-Оби
Гришковка,Гальбштадт
Гордеевский,Троицкое
Знаменки,Славгород
Тадкистан,Таджикистан
Хисор,Таджикистан
Тоурак,Алтайское
Усть-Мосиха,Ребриха
Усь-Кан,Усть-Кан
Хэлун,Китай
Северка,Ключи
Республика Алтай,Барнаул
Павловский район,Павловск
с.Павловск,Павловск
с. Новообинка Петропавловского р-на Алт. Кр.,Петропавловское
"Камчатский край, Петропавловск-Камчатский г",Камчатка
с.Павловск,Павловск
г.Павловск ,Павловск
