old,new
Алтайский крайРодиноРоссия,Алтай
провинция СиньцзянУрумчиКитай,Китай
Алтай РеспЧемалРоссия,Республика
Алтайский крайКалмыцкие МысыРоссия,Алтай
Алтайский крайКрутишкаРоссия,Алтай
Свердловская облБалакиноРоссия,РФ
Алтайский крайСлавгородскоеРоссия,Славгород
Павлодарская облУспенкаКазахстан,Казахстан
Алтайский крайПетухиРоссия,Алтай
Республика АлтайБарнаулРоссия,Барнаул
Алтайский крайКорболихаРоссия,Алтай
Алтайский крайОзеркитРоссия,Алтай
Алтай РеспШебалиноРоссия,Республика
В-Казахстанская облУсть-КаменогорскКазахстан,Казахстан
Алтайский крайЗимариРоссия,Алтай
Краснодарский крайКропоткинРоссия,РФ
Алтайский крайХлеборобноеРоссия,Алтай
Алматинская областьТалдыкорганКазахстан,Казахстан
Алтайский крайСаввушкаРоссия,Алтай
Республика АлтайКош-АгачРоссия,Республика
Алтайский крайТюменцевоРоссия,Алтай
Алтайский крайЗайцевоРоссия,Алтай
"Алтайский крайСлавгород, ЗнаменкаРоссия",Славгород
Алтайский крайБарнаулТаджикистан,Таджикистан
Жалал-АбадскаяМайлуу-СууКыргызстан,Кыргызстан
В-Казахстанская обл.СемейКазахстан,Казахстан
Алтайский крайОсколковоРоссия,Алтай
Алтайский крайБоровихаРоссия,Алтай
Алтайский крайВылковоРоссия,Алтай
В-Казахстанская облУсть-ТаловкаКазахстан,Казахстан
Алтайский крайКомарскоеРоссия,Алтай
Алтайский крайКолыванскоеРоссия,Алтай
Восточно-Казахстанская облУсть-ТаловкаКазахстан,Казахстан
Алтайский крайКазахстанРоссия,Казахстан
Алтайский крайРебрихатРоссия,Алтай
Алтайский крайНовичихаРоссия,Алтай
Новосибирская областьИскраРоссия,РФ
Чеченская респСерноводскРоссия,РФ
Алтайский крайЕльцовкаРоссия,Алтай
Алтайский крайДогланкаРоссия,Алтай
Республика ТываЧаданРоссия,РФ
Алтайский крайГилевкаРоссия,Алтай
Тыва РеспКызылРоссия,РФ
Кемеровская облЮргаРоссия,РФ
Алтайский крайБлаговещенкаРоссия,Алтай
СычуаньДачжоуКитай,Китай
"Алтайский крайБарнаул, ОпытнаятРоссия",Барнаул
Алтайский крайСеменовкаРоссия,Алтай
Алтайский крайБаранулРоссия,Барнаул
ВКОУсть-КаменогорскКазахстан,Казахстан
Алтай РеспсКош-АгачРоссия,Республика
Алтайский крайПоломошноеРоссия,Алтай
Алайский крайБобровкаРоссия,Алтай
Кемеровская облПрокопьевскРоссия,РФ
Алтайский крайДубровиноРоссия,Алтай
"Алтайский крайБарнаул, ЯгодныйРоссия",Барнаул
Сахалинская областьЧеховРоссия,РФ
Алтайский крайХаритоновоРоссия,Алтай
Алтайский крайТравноеРоссия,Алтай
Алтайский крайКасмалинкаРоссия,Алтай
Алтайский крайКытмановоРоссия,Алтай
В-Казахстанская облБыструхаКазахстан,Казахстан
Хатлонская обл.Курган-ТюбеТаджикистан,Таджикистан
Алтай РеспОнгудайРоссия,Республика
Алтай РеспЧибитРоссия,Республика
Алтайский крайКуяганРоссия,Алтай
Алтайский крайШипуновоРоссия,Алтай
Алтайский крайКаркавиноРоссия,Алтай
Алтайский крайЗаветы ИльичаРоссия,Алтай
Республика АлтайУлаганРоссия,Республика
Алтайский крайЗавьяловоРоссия,Алтай
Алтайский крайОтрадноеРоссия,Алтай
Новосибирская облНовосибирскРоссия,РФ
Алтайский крайКамышенкаРоссия,Алтай
Алтайский крайСеливерстовоРоссия,Алтай
Алтайский крайБурлаРоссия,Алтай
Алтай РеспГорно-АлтайскРоссия,Горно-Алтайск
Алтайский крайУсть-ИшаРоссия,Алтай
Алтайский крайБарнаул ЮжныйРоссия,Барнаул
Алтайский крайУгловскоеРоссия,Алтай
Алтайский крайДегтяркаРоссия,Алтай
пров. ХэнаньЛохэКитай,Китай
Алтайский крайБобровкаРоссия,Алтай
Республика АлтайАртыбашРоссия,Республика
Алтайский крайЖилиноРоссия,Алтай
провинция ХайнаньВэнчанКитай,Китай
Алтайский крайЛуговоеРоссия,Алтай
Алтайский крайХарловоРоссия,Алтай
Курганская областьКатайскРоссия,РФ
Алтайский крайНовоперуновоРоссия,Алтай
Алтайский крайС ЗавьяловоРоссия,Алтай
Республика АлтайКарагайРоссия,Республика
Алтаский крайЛуговоеРоссия,Алтай
Алтайский крайГляденьРоссия,Алтай
Иссык-КульскаясЛипенкаКыргызстан,Кыргызстан
Алтайский крайЛесноеРоссия,Алтай
В-КАЗАХСТАНСКАЯ ОБЛАСТЬСемейКазахстан,Казахстан
Кемеровская областьНовокузнецкРоссия,РФ
Восточно-Казахстанская облШемонаихаРоссия,Казахстан
Алтай РеспсКараколРоссия,Республика
Республика КрымСимферопольРоссия,РФ
Алтайский крайПодсосново улРоссия,Алтай
Алтайский крайПустыньРоссия,Алтай
Алтайский крайСаратовкаРоссия,Алтай
Алтайский крайПолуямкиРоссия,Алтай
Алтайский крайпоПреградинкаРоссия,Алтай
Карагандинская облАбайКазахстан,Казахстан
Кемеровская областьБерезовскийРоссия,РФ
Алтайский крайПетропавловскоеРоссия,Алтай
Республика Саха /Якутия/АйхалРоссия,РФ
Кемеровская областьПолысаевоРоссия,РФ
Алтайский крайУсть-ЧагыркаРоссия,Алтай
Восточно-Казахстанская областьВерх-БерезовкаКа...,Казахстан
Восточно-Казахстанская облШемонаиха РассыпноеК...,Казахстан
Алтайский крайгород БарнаулРоссия,Барнаул
Ханты-Мансийский Автономный округ - Югра АОУра...,РФ
Алтайский крайСолтонРоссия,Алтай
Алтайский крайСолонешноеРоссия,Алтай
Павлодарская облПавлодарКазахстан,Казахстан
Хакасия РеспСаяногорскРоссия,РФ
Алтайский крайЦелинноеРоссия,Алтай
Алтайский крайВолчихаРоссия,Алтай
Алтай РеспТурочакРоссия,Республика
Алтайский крайСосновкаРоссия,Алтай
Новосибирская облЧерепановоРоссия,РФ
Алтайский крайПоспелихаРоссия,Алтай
Хэйлунцзян провинцияЖаохэКитай,Китай
Алтайский крайКузнецовоРоссия,Алтай
Алтайский крайЕлуниноРоссия,Алтай
Алтайский крайБоровскоеРоссия,Алтай
Алтайский крайБочкариРоссия,Алтай
Павлодарская областьПавлодарКазахстан,Казахстан
Алтайский крайСычевкаРоссия,Алтай
Алтайский крайСибирские ОгниРоссия,Алтай
Алтайский крайНижнекаменкаРоссия,Алтай
Алтайский крайСавинкаРоссия,Алтай
Омская облЛукьяновкаРоссия,РФ
Алтайский крайпосУсть-КатуньРоссия,Алтай
Республика АлтайОзерноеРоссия,Республика
Алтайский крайУсть-КалманкаРоссия,Алтай
Республика АлтайКаракокшаРоссия,Республика
В-Казахстанская облНовопокровкаКазахстан,Казахстан
Хабаровский крайКомсомольск-на-АмуреРоссия,РФ
Томская областьКривошеиноРоссия,РФ
Алтай РеспМанжерокРоссия,Республика
Алтайский крайНовошипуновоРоссия,Алтай
Алтайский крайЕлбанкаРоссия,Алтай
Алтай РеспБарнаулРоссия,Барнаул
Алтайский крайСтуковоРоссия,Алтай
В-Казахстанская обл.ДмитриевкаКазахстан,Казахстан
Алтайский крайВласиха БарнаулРоссия,Барнаул
Алтайский крайКуликовоРоссия,Алтай
"Алтайский крайБарнаул, АвиаторРоссия",Барнаул
Алтай РеспУсть-МутаРоссия,Республика
Краснодарский крайст-ца ТемнолесскаяРоссия,РФ
"Алтайский крайБарнаул, БельмесевоРоссия",Барнаул
Республика АлтайТурочакРоссия,Республика
Алтайский крайАнисимовоРоссия,Алтай
Алтайский крайСело ШипуновоРоссия,Алтай
Восточно-Казахстанская облОктябрьскийКазахстан,Казахстан
"Алтайский крайБарнаул, МохнатушкаРоссия",Барнаул
Алтайский крайМайскийРоссия,Алтай
Кемеровская облМеждуреченскРоссия,РФ
Красноярский крайНорильскРоссия,РФ
Восточно-Казахстанская облПрапорщиковоКазахстан,Казахстан
Саха /Якутия/ РеспМирныйРоссия,РФ
пров. Хэнаньгор ОкруЧжоукоуКитай,Китай
Алтайский крайСанкт-ПетербургРоссия,РФ
Алтайский крайОзеркиРоссия,Алтай
Павлодарская обл.ПавлодарКазахстан,Казахстан
Баткенская облКадамжайКыргызстан,Кыргызстан
Алтайский крайТабуныРоссия,Алтай
Ямало-Ненецкий АОГоркиРоссия,РФ
Алтайский крайСтародрачениноРоссия,Алтай
Алтайский крайНовоеловкаРоссия,Алтай
Восточно-Казахстанская обл.СемейКазахстан,Казахстан
Алтайский край БарнаулРоссия,Барнаул
Алтайский крайПавловкаРоссия,Алтай
Алтайский крайСовхозныйРоссия,Алтай
Алтайский крайБурановоРоссия,Алтай
алтайский крайгНовоалтайскРоссия,Новоалтайск
Республика ТываЭэрбекРоссия,РФ
В-Казахстанская обл.РиддерКазахстан,Казахстан
Алтайский крайКокорскийРоссия,Алтай
Алтайский крайБажевоРоссия,Алтай
"Алтайский крайБарнаул, ВласихаРоссия",Барнаул
Алтайский крайКонстантиновкаРоссия,Алтай
Алтайский крайБоровойРоссия,Алтай
Алтайский крайЛебединоРоссия,Алтай
Цзянси пров.СаньяКитай,Китай
Восточно-Казахстанская облЗыряновскКазахстан,Казахстан
Алтайский крайНовомоношкиноРоссия,Алтай
Джалал-Абадская областьЖалал-АбадКыргызстан,Кыргызстан
Алтайский крайЛебяжьеРоссия,Барнаул
Республика АлтайЧояРоссия,Республика
Алтайский крайСоветскоеРоссия,Алтай
Алтайский крайШубенкаРоссия,Алтай
В-Казахстанская облКурчатовКазахстан,Казахстан
Алтайский крайНовыйРоссия,Алтай
Алтайский крайСентелекРоссия,Алтай
Алтай РеспУлаганРоссия,Республика
Алтайский крайПротасовоРоссия,Алтай
Алтайский крайУрываевотРоссия,Алтай
Хубэй провинцияЦзинчжоуКитай,Китай
Республика АлтайПаспаулРоссия,Республика
Алтайский крайВерх-КатунскоеРоссия,Алтай
Алтайский крайЗаводскойРоссия,Алтай
Восточно-Казахстанская областьЗыряновскКазахстан,Казахстан
Алтай РеспУрлу-АспакРоссия,Республика
Алтайский крайТишинкаРоссия,Алтай
Новосибирская областьНовосибирскРоссия,РФ
В-Казахстанская обл.ЗыряновскКазахстан,Казахстан
Нарына Жаны-КучРоссия,Кыргызстан
Алтайский крайБезрукавкаРоссия,Алтай
Республика АлтайВерх-УймонРоссия,Республика
Алтайский крайКарасукРоссия,Алтай
Алтай РеспКаракокшаРоссия,Республика
Алтайский крайКрасный ярРоссия,Алтай
Алтайский крайНовоалександровкаРоссия,Алтай
Алтайский крайБаевоРоссия,Алтай
Алтайский крайСорочий лосРоссия,Алтай
Алтай РеспКатандаРоссия,Республика
Восточно-Казахстанская облСемейРоссия,Казахстан
Алтайский крайАсямовкаРоссия,Алтай
Алтайский крайПравдаРоссия,Алтай
В-Казахстанская облКоневкиКазахстан,Казахстан
Тыва РеспКунгуртусРоссия,РФ
Алтайский крайВерх-АллакРоссия,Алтай
Алтайский крайСмазневотРоссия,Алтай
Восточно-Казахстанская облПавлодарКазахстан,Казахстан
Алтайский крайАнтоньевкаРоссия,Алтай
"Алтайский крайКамень-на-Оби, ПлотиннаятРоссия",Камень-на-Оби
Алтайский крайМельниковкаРоссия,Алтай
Хатлонская облБарнаулТаджикистан,Таджикистан
Восточно-Казахстанская облГлубокоеКазахстан,Казахстан
Алтайский крайЗеленая ПолянаРоссия,Алтай
Алтайский крайГеоргиевкаРоссия,Алтай
Алтайский крайВоскресенкаРоссия,Алтай
Красноярский крайБарнаулРоссия,Барнаул
Алтайский крайсКытмановоРоссия,Алтай
республика АлтайУлаганРоссия,Республика
Алтай РеспБалыктуюльРоссия,Республика
Алтайский крайКомарихаРоссия,Алтай
Сычуань провинцияМяньянородской округКитай,Китай
Алтайский крайАлексеевкаРоссия,Алтай
Кемеровская облБеловоРоссия,РФ
Самарская областьСамараРоссия,РФ
Восточно-Казахстанская областьКамышенкаКазахстан,Казахстан
Алтайский край12 лет ОктябряРоссия,Алтай
Алтайский крайСибирские огниРоссия,Алтай
Алтайский крайСоусканихаРоссия,Алтай
Новосибирская областьКольцовоРоссия,РФ
Волгоградская облПрогрессРоссия,РФ
Алтайский крайПанкрушихаРоссия,Алтай
Алтайский крайБольшеугреневоРоссия,Алтай
Алтайский крайНовоильинкаРоссия,Алтай
Алтайский крайЗаречноеРоссия,Алтай
Томская областьТомскРоссия,РФ
Алтайский крайАяРоссия,Алтай
Алтайский крайНовообинцевоРоссия,Алтай
Красноярский крайКрасноярскРоссия,РФ
Алтайский крайТундрихаРоссия,Алтай
Алтайский крайМихайловкаРоссия,Алтай
Восточно-Казахстанская областьСемейКазахстан,Казахстан
Алтайский крайБоровлянкаРоссия,Алтай
Ганьсу провинцияЧжанъеКитай,Китай
Алтайский крайМасальскийРоссия,Алтай
Алтайский крайСидоровкаРоссия,Алтай
Респ Саха (Якутия)ЭльдиканРоссия,РФ
Алтайский крайТолстовскийРоссия,Алтай
Алтай РеспсКырлыкРоссия,Республика
Алтайский крайСвекловичныйРоссия,Алтай
Алтайский крайШалапРоссия,Алтай
Алтайский крайАндроновоРоссия,Алтай
Алтайский крайСолнечныйРоссия,Алтай
Алтайский крайСтепной КучукРоссия,Алтай
Акмолинская обл.ЕрейментауКазахстан,Казахстан
"Алтайский крайБарнаул, ЮжныйРоссия",Барнаул
Новосибирская облСпириноРоссия,РФ
Хэнань провинцияНаньянКитай,Китай
Алтайский крайНовый ЧарышРоссия,Алтай
Алтайский крайНоводрачениноРоссия,Алтай
Восточно-Казастанская обл.СемейКазахстан,Казахстан
Алтайский крайГилев-ЛосРоссия,Алтай
Алтайский крайТочильноеРоссия,Алтай
ГуандунЦзеянКитай,Китай
Алтайский крайБуканскоеРоссия,Алтай
Алтайский крайФирсовоРоссия,Барнаул
Алтайский крайЗаковряшиноРоссия,Алтай
Алтайский крайайБийскРоссия,Бийск
Алтайский крайЗмеиногорскРоссия,Алтай
Алтайский крайБезголосовоРоссия,Алтай
Алтайский крайЛеснойРоссия,Барнаул
Алтайский крайНижнечуманкаРоссия,Алтай
Алматинская облТалгарКазахстан,Казахстан
Алтайский крайБольшеромановкаРоссия,Алтай
Алтайский крайСолнечноеРоссия,Алтай
Алтайский крайАллакРоссия,Алтай
Алтайский крайВяткиноРоссия,Алтай
ГуандунГуанчжоуКитай,Китай
Алтайский крайайБелокурихаРоссия,Алтай
Восточно-Казахстанская облКурчатовКазахстан,Казахстан
Алтайский крайКичекРоссия,Алтай
Алтайский крайСорочий ЛосРоссия,Алтай
Алтайский крайШумановкаРоссия,Алтай
провинция СычуаньГуанханьКитай,Китай
Алтайский крайШарчиноРоссия,Алтай
Алтайский крайКусакРоссия,Алтай
Алтайский крайПобедимРоссия,Алтай
Алтайский крайТогулРоссия,Алтай
Хэнань провинцияЧжоукоуКитай,Китай
Алтайский крайМалышев ЛосРоссия,Алтай
Алтайский крайВолчно-БурлинскоеРоссия,Алтай
Алтайский крайВасильчукиРоссия,Алтай
Алтайский крайКрасный ЯрРоссия,Алтай
Алтайский крайЛиствянкаРоссия,Алтай
Гуандун пров.ЧаочжоуКитай,Китай
Красноярский крайЛебяжьеРоссия,РФ
Алтайский крайАкимовкаРоссия,Алтай
"Алтайский крайБарнаул, Борзовая ЗаимкаРоссия",Барнаул
Алтай РеспТеленгит-СортогойРоссия,Республика
Алтайский крайБаюновские КлючиРоссия,Алтай
Иркутская облУсть-ИлимскРоссия,РФ
Алтайский крайОктябрьскийРоссия,Барнаул
Хэйлунцзян провинцияХарбинКитай,Китай
Иркутская облЗимаРоссия,РФ
Алтай РеспВерх-ЯбоганРоссия,Республика
Алтайский крайГуселетовоРоссия,Алтай
Алтайский крайТулатаРоссия,Алтай
Республика АлтайТобелерРоссия,Республика
"Жалал-Абад облЖалал-Абад, Сузак р, КомсомолКыр...",Кыргызстан
Восточно-Казахстанская областьШемонаихаКазахстан,Казахстан
Алтайский крайГоньбаРоссия,Барнаул
Алтайский крайТамбовскийРоссия,Алтай
Хатлонская облКургантюбаТаджикистан,Таджикистан
Алтайский крайГилевоРоссия,Алтай
Восточно-Казахстанская обл.ШемонаихаКазахстан,Казахстан
Ямало-Ненецкий АОСалехардРоссия,РФ
Алтайский крайГальбштадтРоссия,Алтай
Ямало-Ненецкий АОНовый УренгойРоссия,РФ
Лебапская обл.ТуременабатТуркменистан,Туркменистан
Алтайский крайПолевоеРоссия,Алтай
Алтай РеспМаймаРоссия,Республика
Алтайский крайКостин ЛогРоссия,Алтай
Новосибирская областьМасляниноРоссия,РФ
Алтайский крайВерх-НеняРоссия,Алтай
Алтайский карйБарнаулРоссия,Барнаул
Алтайский крайСараиРоссия,Алтай
Алтайский крайКрасноярыРоссия,Алтай
Алтайский крайПовалихаРоссия,Алтай
"Алтайский крайБарнаул, ПригородныйРоссия",Барнаул
"Алтайский крайБарнаул, ЧерницкРоссия",Барнаул
Алтайский крайИльинкаРоссия,Алтай
Алтайский крайЧаузовоРоссия,Алтай
Восточно-Казахстанская областьРиддерКазахстан,Казахстан
Алтайский крайСтарокопыловоРоссия,Алтай
Алтайский крайКолываньРоссия,Алтай
Алтайский крайУстьянкаРоссия,Алтай
Алтайский крайШахиРоссия,Алтай
Жалал-Абадская облЖергеталРоссия,Кыргызстан
Амурская областьБуреягтРоссия,Алтай
Алтайский крайКостин ЛосРоссия,Алтай
Алтайский крайпПобедимРоссия,Алтай
Алтайский крайШульгинкаРоссия,Алтай
Алтайский крайБарнаул ЛебяжьеРоссия,Барнаул
Алтай РеспЧибиляРоссия,Республика
Алтайский крайКазенная ЗаимкаРоссия,Барнаул
Алтайский крайЛокотьРоссия,Алтай
Омская облОмскРоссия,РФ
Курская облКурскРоссия,РФ
Алтайский крайРогозихаРоссия,Алтай
Алтайский крайСтан-БехтемирРоссия,Алтай
Алтайский крайЧесноковоРоссия,Алтай
Алтайский крайЯготиноРоссия,Алтай
Алтайский карйАлександровкаРоссия,Алтай
Алтайский крайПервомайскийРоссия,Алтай
Республика АлтайУсть-КоксаРоссия,Республика
Алтайский крайНовокормихаРоссия,Алтай
Алтайский крайКоротоякРоссия,Алтай
Алтайский крайКрестьянкаРоссия,Алтай
Алтай респГорно-АлтайскРоссия,Горно-Алтайск
Алтайский крайБорзовая ЗаимкаРоссия,Барнаул
Ямало-Ненецкий АОНоябрьскРоссия,РФ
Алматинская областьТекелиКазахстан,Казахстан
ГБАОНавободТаджикистан,Таджикистан
Алтайский крайБарнаул ЦентральныйРоссия,Барнаул
Алтайский крайКурочкиноРоссия,Алтай
Восточно-Казахстанская облВыдрихаКазахстан,Казахстан
Алтайский крайсКашкарагаихаРоссия,Алтай
Кемеровская областьКемеровоРоссия,РФ
Алтайский крайУсть-ГавриловкаРоссия,Алтай
Хэйлунцзян провинцияСуйхуаКитай,Китай
Алтайский крайБарнаул Казенная заимкаРоссия,Барнаул
Алтайский крайБольшепанюшевоРоссия,Алтай
Алтайский крайСтарая СуртайкаРоссия,Алтай
В-Казахстанская обл.Усть-КаменогорскКазахстан,Казахстан
Алтайский крайКалистратихаРоссия,Алтай
"Алтайский крайБарнаул, Казенная ЗаимкаРоссия",Барнаул
Алтайский крайНовотырышкиноРоссия,Алтай
провинция ЛяонинДальяньКитай,Китай
Алтайский крайКалиновкаРоссия,Алтай
Алтайский край ГорнякРоссия,Алтай
Алтайский крайСеверныйРоссия,Алтай
Алтайский крайПуштулимРоссия,Алтай
ВКОСемейКазахстан,Казахстан
ВКОКамышинкаКазахстан,Казахстан
Алтайский крайБарнаул СанниковоРоссия,Барнаул
Алтайский крайКубанкаРоссия,Алтай
Ляонин провинцияКитайКитай,Китай
Алтайский крайНижний КучукРоссия,Алтай
Восточно-КазахстанскаяУсть-ТаловкаКазахстан,Казахстан
Алтай РеспЧаган-УзунРоссия,Республика
Мурманская областьСевероморскРоссия,РФ
Новосибирская облМышланкаРоссия,РФ
Алтайский крайОгниРоссия,Алтай
Алтайский крайБорисовоРоссия,Алтай
Алтайский крайУсть-КозлухаРоссия,Алтай
Алтайский крайЗаводскоеРоссия,Алтай
Алтайский крайгБарнаулРоссия,Барнаул
Алтайский крайсКрасногорскоеРоссия,Алтай
Алтайский крайМичуринскоеРоссия,Алтай
Восточно-Казахстанская обл.Усть-КаменогорскРоссия,Казахстан
Алтайский крайсЕнисейскоеРоссия,Алтай
Кемеровская областьМеждуреченскРоссия,РФ
Алтайский крайсКлючиРоссия,Алтай
Алтай РеспОгневкаРоссия,Республика
Восточно-КазахстанскаяСемейРоссия,Казахстан
Алтайский крайКоролевскийРоссия,Алтай
Алтайский крайпНовые ЗориРоссия,Алтай
г. БарнаулБарнаулРоссия,Барнаул
"Алтайский крайБарнаул, ПлодопитомникРоссия",Барнаул
Алтайский крайКачусовоРоссия,Алтай
Республика АлтайБарагашРоссия,Республика
Чеченская РеспубликаЧернокозовоРоссия,РФ
Алтайский крайГоноховоРоссия,Алтай
провинция ХэйлунцзянХэганКитай,Китай
Кемеровская облМеталлурговРоссия,РФ
Республика АлтайУсть-КанРоссия,Республика
Алтайский крайНовобурановоРоссия,Алтай
Алтайский крайПлешковоРоссия,Алтай
провинция СычуаньБачжунКитай,Китай
Алтайский крайЛаптев ЛосРоссия,Алтай
Кемеровская областьКиселевскРоссия,РФ
Республика АлтайЖана-АулРоссия,Республика
Алтайский крБарнаулРоссия,Барнаул
Республика ТываБора-ТайгаРоссия,РФ
Алтайский крайУспенкаРоссия,Алтай
Алтайский крайБуланихатРоссия,Алтай
Алтайский крайБарнаул ПригородныйРоссия,Барнаул
Алайский крайБийскРоссия,Бийск
Алтайский крайИстимисРоссия,Алтай
В-КАЗАХСТАНСКАЯ ОБЛАСТЬШемонаихаКазахстан,Казахстан
Алтайский край БлаговещенкаРоссия,Алтай
Восточно-Казахстанская областьУсть- Каменогорс...,Казахстан
Алтайский крайНовояркиРоссия,Алтай
Хэбэй провинцияХаньданьКитай,Китай
Новосибирская областьКочкиРоссия,РФ
Алтайский крайрпБлаговещенкаРоссия,Алтай
Алтайский крайТопольноеРоссия,Алтай
В-Казахстанская обл.СемейРоссия,Казахстан
Алтайский крайКиприноРоссия,Алтай
